Date,Shift,Total,Accounts,Max balance,Richest,Top 5% wealth,Top 5% ownership,Top 5% accounts,Top 10% wealth,Top 10% ownership,Top 10% accounts,Top 25% wealth,Top 25% ownership,Top 25% accounts,Top 50% wealth,Top 50% ownership,Top 50% accounts
2020-11-06-11_57_01,0,1501904,168,123908,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,776095,0.5167407504074828,8,1129562,0.75208668463497,17,1422962,0.947438717787555,42,1469151,0.9781923478464669,84
2020-11-11-08_52_51,0,2203484,257,143456,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1220090,0.5537094891544482,13,1661044,0.7538262133966028,26,2101576,0.9537514227468863,64,2168761,0.984241773482358,129
2020-11-12-10_11_43,0,2222520,272,143456,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1261690,0.5676844302863416,14,1687044,0.7590680848766266,27,2116064,0.9521012184367295,68,2184261,0.982785756708601,136
2020-11-18-10_18_10,0,3145563,325,163066,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1613759,0.513027079731037,16,2334286,0.7420884592042823,33,3021537,0.9605711282845074,81,3106021,0.9874292773662458,163
2020-11-03-20_36_43,0,1326448,141,118408,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,684395,0.5159606709045511,7,957965,0.7222032073628216,14,1237242,0.9327482117655573,35,1291831,0.9739024824192128,71
2020-11-04-19_04_10,0,1440842,143,123908,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,694898,0.4822860521833761,7,1042662,0.723647700441825,14,1354768,0.9402613194229485,36,1407557,0.9768989243789395,72
2020-11-04-19_17_48,0,1440845,143,123908,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,694898,0.4822850480100219,7,1042663,0.7236468877637775,14,1354769,0.9402600557311855,36,1407558,0.9768975844035965,72
2020-11-06-20_03_45,0,1501908,168,123908,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,776095,0.5167393741827062,8,1129562,0.7520846816183149,17,1423386,0.9477185020653729,42,1470073,0.9788036284512767,84
2020-11-13-11_32_26,0,2228530,282,143466,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1262124,0.5663482205758953,14,1708071,0.7664563636118876,28,2121678,0.9520526984155475,71,2191561,0.9834110377692918,141
2020-11-14-16_39_14,0,2234052,292,143466,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1302475,0.5830101537475404,15,1727552,0.7732819110745855,29,2126986,0.9520754217001216,73,2198201,0.9839524773819052,146
2020-11-15-13_41_35,0,3073408,305,163066,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1554712,0.5058592936570738,15,2247850,0.7313867862646287,31,2950321,0.9599509729915455,76,3032115,0.9865644262004915,153
2020-11-23-11_03_27,0,4312723,344,182666,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1971423,0.457117927583107,17,2984401,0.6919992311122231,34,4169078,0.96669273681616,86,4268611,0.9897716593437603,172
2020-11-24-09_40_07,0,4370337,349,182666,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2005923,0.4589858859854515,17,3063681,0.7010171069187571,35,4218667,0.9652955824688119,87,4324717,0.9895614457191745,175
2020-11-25-09_39_16,0,4451373,354,184666,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2083650,0.4680915304109541,18,3078064,0.6914864245256463,35,4293148,0.9644547873206761,89,4405220,0.9896317383423047,177
2020-11-27-16_13_13,0,4489181,361,189666,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2094603,0.4665891172576913,18,3155715,0.7029600722269831,36,4330341,0.9646171539975777,90,4443835,0.989898825643252,181
2020-11-29-00_34_38,0,4528692,368,194342,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2103539,0.4644915132228025,18,3211743,0.7091988150220858,37,4377800,0.9666808871082423,92,4485366,0.9904329991971191,184
2020-11-15-12_27_48,0,2250076,301,143466,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1302475,0.578858225233281,15,1747152,0.7764857720361446,30,2138997,0.9506332230555767,75,2212712,0.9833943386801157,151
2020-11-16-01_57_42,0,3073910,307,163066,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1554712,0.505776681815668,15,2247850,0.7312673435461676,31,2952269,0.9604279240446207,77,3033062,0.9867113871258429,154
2020-11-19-09_56_11,0,3188783,330,163066,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1672423,0.5244706209234056,17,2334286,0.7320303702070664,33,3064132,0.9609095382156766,83,3149227,0.9875952675362356,165
